"Product ID","Product Name","Product Main image","Product Details Page Link","Product Price(Unit price)",Commission,"Promotion Link(Valid for 15 days)"
933600,"Geekcreit® MB-102 MB102 Solderless Breadboard + Power Supply + Jumper Cable Kits Dupont Wire For Arduino",https://img2.banggood.com/thumb/gallery/oaupload/banggood/images/41/D9/365d387e-70a5-4688-a3a0-bc6efa5d89c2.jpg,https://www.banggood.com/Geekcreit®-MB-102-MB102-Solderless-Breadboard-+-Power-Supply-+-Jumper-Cable-Kits-Dupont-Wire-For-Arduino-reviews-p933600.html,US$4.49,$0.18,https://www.banggood.com/MB-102-MB102-Solderless-Breadboard-Power-Supply-Jumper-Cable-Kits-Dupont-Wire-For-Arduino-p-933600.html?p=05041114859396201710
74102,"433Mhz RF Transmitter With Receiver Kit For Arduino ARM MCU Wireless",https://img2.banggood.com/thumb/gallery/upload/2014/05/SKU136305/1.jpg,https://www.banggood.com/433Mhz-RF-Transmitter-With-Receiver-Kit-For-Arduino-ARM-MCU-Wireless-reviews-p74102.html,US$1.39,$0.06,https://www.banggood.com/433Mhz-RF-Transmitter-With-Receiver-Kit-For-Arduino-ARM-MCU-Wireless-p-74102.html?p=05041114859396201710
937403,"AM2302 DHT22 Temperature And Humidity Sensor Module For Arduino SCM",https://img3.banggood.com/thumb/gallery/2014/xiemeijuan/07/SKU146979/SKU146979a.jpg,https://www.banggood.com/AM2302-DHT22-Temperature-And-Humidity-Sensor-Module-For-Arduino-SCM-reviews-p937403.html,US$3.98,$0.16,https://www.banggood.com/AM2302-DHT22-Temperature-And-Humidity-Sensor-Module-For-Arduino-SCM-p-937403.html?p=05041114859396201710
908621,"HC-05 Wireless Bluetooth Serial Transceiver Module Slave And Master",https://img.banggood.com/thumb/gallery/oaupload/banggood/images/4E/D9/2e91ed74-70b2-4c4f-a9d5-b1f36a3d661c.jpg,https://www.banggood.com/HC-05-Wireless-Bluetooth-Serial-Transceiver-Module-Slave-And-Master-reviews-p908621.html,US$4.09,$0.16,https://www.banggood.com/HC-05-Wireless-Bluetooth-Serial-Transceiver-Module-Slave-And-Master-p-908621.html?p=05041114859396201710
1111135,"GY-BMP280-3.3 High Precision Atmospheric Pressure Sensor Module For Arduino",https://img3.banggood.com/thumb/gallery/oaupload/banggood/images/28/6B/99f1bbb5-ece2-4d6c-b3d3-36903cc2ba44.jpg,https://www.banggood.com/GY-BMP280-3_3-High-Precision-Atmospheric-Pressure-Sensor-Module-For-Arduino-reviews-p1111135.html,US$1.98,$0.08,https://www.banggood.com/GY-BMP280-3_3-High-Precision-Atmospheric-Pressure-Sensor-Module-For-Arduino-p-1111135.html?p=05041114859396201710
933647,"Geekcreit® ATmega328P Arduino Compatible Nano V3 Improved Version With USB Cable",https://img3.banggood.com/thumb/gallery/upload/2014/06/SKU147298/1.jpg,https://www.banggood.com/Geekcreit®-ATmega328P-Arduino-Compatible-Nano-V3-Improved-Version-With-USB-Cable-reviews-p933647.html,US$3.46,$0.14,https://www.banggood.com/ATmega328P-Arduino-Compatible-Nano-V3-Improved-Version-With-USB-Cable-p-933647.html?p=05041114859396201710
68534,"ATMEGA328 328p 5V 16MHz Arduino Compatible Pro Mini Module Board","https://img.banggood.com/thumb/gallery/upload/2014/03/SKU066315 (1).jpg",https://www.banggood.com/ATMEGA328-328p-5V-16MHz-Arduino-Compatible-Pro-Mini-Module-Board-reviews-p68534.html,US$3.09,$0.12,https://www.banggood.com/Wholesale-New-Ver-Pro-Mini-ATMEGA328-328p-5V-16MHz-Arduino-Compatible-Nano-Size-p-68534.html?p=05041114859396201710
68537,"Geekcreit® Arduino Compatible UNO R3 ATmega16U2 AVR USB Development Main Board",https://img.banggood.com/thumb/gallery/oaupload/banggood/images/E6/45/7e38d5ca-24ca-43ee-af53-933587896ac4.jpg,https://www.banggood.com/Geekcreit®-Arduino-Compatible-UNO-R3-ATmega16U2-AVR-USB-Development-Main-Board-reviews-p68537.html,US$6.35,$0.25,https://www.banggood.com/Wholesale-Arduino-Compatible-R3-UNO-ATmega16U2-AVR-USB-Board-p-68537.html?p=05041114859396201710
80862,"6DOF MPU-6050 3 Axis Gyro With Accelerometer Sensor Module For Arduino",https://img2.banggood.com/thumb/gallery/upload/2012/jiangjunchao/SKU080242h.JPG,https://www.banggood.com/6DOF-MPU-6050-3-Axis-Gyro-With-Accelerometer-Sensor-Module-For-Arduino-reviews-p80862.html,US$2.66,$0.11,https://www.banggood.com/6DOF-MPU-6050-3-Axis-Gyro-With-Accelerometer-Sensor-Module-For-Arduino-p-80862.html?p=05041114859396201710
81066,"DS3231 AT24C32 IIC High Precision Real Time Clock Module For Arduino",https://img3.banggood.com/thumb/gallery/oaupload/banggood/images/E0/E0/2d5e0728-9878-47ed-b92b-6810b0d7d846.jpg,https://www.banggood.com/DS3231-AT24C32-IIC-High-Precision-Real-Time-Clock-Module-For-Arduino-reviews-p81066.html,US$1.86,$0.07,https://www.banggood.com/DS3231-AT24C32-IIC-High-Precision-Real-Time-Clock-Module-For-Arduino-p-81066.html?p=05041114859396201710
1148119,"Wemos® ESP32 OLED Module For Arduino ESP32 OLED WiFi + Bluetooth Dual ESP-32 ESP-32S ESP8266 OLED Module",https://img1.banggood.com/thumb/gallery/oaupload/banggood/images/26/7E/16f40ab1-39f2-450d-a79e-8a70b753d6af.jpg,https://www.banggood.com/Wemos®-ESP32-OLED-Module-For-Arduino-ESP32-OLED-WiFi-+-Bluetooth-Dual-ESP-32-ESP-32S-ESP8266-OLED-Module-reviews-p1148119.html,US$10.49,$0.42,https://www.banggood.com/Wemos-ESP32-OLED-Module-For-Arduino-ESP32-OLED-WiFi-Bluetooth-Dual-ESP-32-ESP-32S-ESP8266-p-1148119.html?p=05041114859396201710
1105286,"Nextion NX4024T032 3.2 Inch HMI Intelligent Smart USART UART Serial Touch TFT LCD Screen Module For Raspberry Pi Arduino Kits",https://img3.banggood.com/thumb/gallery/oaupload/banggood/images/15/B7/b3851c30-8e32-7a84-4c6f-4d8eb492a45c.jpg,https://www.banggood.com/Nextion-NX4024T032-3_2-Inch-HMI-Intelligent-Smart-USART-UART-Serial-Touch-TFT-LCD-Screen-Module-For-Raspberry-Pi-Arduino-Kits-reviews-p1105286.html,US$21.29,$0.85,https://www.banggood.com/3_2-Inch-Nextion-HMI-Intelligent-Smart-USART-UART-Serial-Touch-TFT-LCD-Screen-Module-p-1105286.html?p=05041114859396201710
1170343,"PCA9685 16-Channel 12-bit PWM Servo Motor Driver I2C Module For Arduino Robot",https://img3.banggood.com/thumb/gallery/oaupload/banggood/images/76/A6/68083893-413b-4cd1-8f47-e017bfea598d.JPG,https://www.banggood.com/PCA9685-16-Channel-12-bit-PWM-Servo-Motor-Driver-I2C-Module-For-Arduino-Robot-reviews-p1170343.html,US$3.28,$0.13,https://www.banggood.com/PCA9685-16-Channel-12-bit-PWM-Servo-Motor-Driver-I2C-Module-For-Arduino-Robot-p-1170343.html?p=05041114859396201710
1085610,"WeMos® D1 R2 V2.1.0 WiFi Uno Based ESP8266 For Arduino Nodemcu Compatible",https://img2.banggood.com/thumb/gallery/oaupload/banggood/images/14/9D/3122a92a-8355-4148-8041-390ca7c39605.jpg,https://www.banggood.com/WeMos®-D1-R2-V2_1_0-WiFi-Uno-Based-ESP8266-For-Arduino-Nodemcu-Compatible-reviews-p1085610.html,US$5.75,$0.23,https://www.banggood.com/New-WeMos-D1-R2-V2_1_0-WiFi-Uno-Based-ESP8266-For-Arduino-Nodemcu-Compatible-p-1085610.html?p=05041114859396201710
72965,"Infrared Obstacle Avoidance Sensor For Arduino Smart Car Robot","https://img.banggood.com/thumb/gallery/upload/2012/jiangjunchao/SKU072960/SKU072960 (1).JPG",https://www.banggood.com/Infrared-Obstacle-Avoidance-Sensor-For-Arduino-Smart-Car-Robot-reviews-p72965.html,US$1.18,$0.05,https://www.banggood.com/Infrared-Obstacle-Avoidance-Sensor-For-Arduino-Smart-Car-Robot-p-72965.html?p=05041114859396201710
1082323,"Geekcreit® CNC Shield UNO R3 Board 4xA4988 Driver Kit With Heat Sink For Arduino Engraver 3D Printer",https://img1.banggood.com/thumb/gallery/oaupload/banggood/images/A3/F5/38365609-e334-4005-b6a1-91a82a8521df.jpg,https://www.banggood.com/Geekcreit®-CNC-Shield-UNO-R3-Board-4xA4988-Driver-Kit-With-Heat-Sink-For-Arduino-Engraver-3D-Printer-reviews-p1082323.html,US$10.19,$0.41,https://www.banggood.com/CNC-Shield-UNO-R3-Board-4xA4988-Driver-Kit-With-Heatsink-For-Arduino-Engraver-3D-Printer-p-1082323.html?p=05041114859396201710
1155263,"3V-7V DIY Light Shock Absorbed Smart Tank Robot Chassis Car Kit With 130 Motor For Arduino SCM",https://img3.banggood.com/thumb/gallery/oaupload/banggood/images/0C/D8/c6a0d0f8-e753-45c2-b52d-55dbcaaaf1c4.jpg,https://www.banggood.com/3V-7V-DIY-Light-Shock-Absorbed-Smart-Tank-Robot-Chassis-Car-Kit-With-130-Motor-For-Arduino-SCM-reviews-p1155263.html,US$9.99,$0.4,https://www.banggood.com/3V-7V-DIY-Light-Shock-Absorbed-Smart-Tank-Robot-Chassis-Car-Kit-With-130-Motor-For-Arduino-SCM-p-1155263.html?p=05041114859396201710
1205437,"Wemos® Mega +WiFi R3 ATmega2560+ESP8266 32Mb Memory USB-TTL CH340G Compatible For Arduino Mega NodeMCU ESP8266",https://img.banggood.com/thumb/gallery/oaupload/banggood/images/24/9F/b6fc7357-fbe7-4c3e-9aee-862d0c1dd6cb.JPG,https://www.banggood.com/Wemos®-Mega-+WiFi-R3-ATmega2560+ESP8266-32Mb-Memory-USB-TTL-CH340G-Compatible-For-Arduino-Mega-NodeMCU-ESP8266-reviews-p1205437.html,US$13.68,$0.55,https://www.banggood.com/Wemos-Mega-WiFi-R3-ATmega2560ESP8266-32Mb-Memory-USB-TTL-CH340G-Compatible-For-Arduino-Mega-p-1205437.html?p=05041114859396201710
1011870,"WeMos® D1 R2 WiFi ESP8266 Development Board Compatible Arduino UNO Program By Arduino IDE",https://img2.banggood.com/thumb/gallery/oaupload/banggood/images/09/35/2cc741b5-7f0f-46eb-b828-80a6cab9cd3e.jpg,https://www.banggood.com/WeMos®-D1-R2-WiFi-ESP8266-Development-Board-Compatible-Arduino-UNO-Program-By-Arduino-IDE-reviews-p1011870.html,US$5.78,$0.23,https://www.banggood.com/WeMos-D1-R2-WiFi-ESP8266-Development-Board-Compatible-Arduino-UNO-Program-By-Arduino-IDE-p-1011870.html?p=05041114859396201710
928931,"TM1638 Chip Key Display Module 8 Bits Digital LED Tube For AVR Arduino",https://img1.banggood.com/thumb/gallery/upload/2014/05/SKU136372/SKU136372a.jpg,https://www.banggood.com/TM1638-Chip-Key-Display-Module-8-Bits-Digital-LED-Tube-For-AVR-Arduino-reviews-p928931.html,US$2.94,$0.12,https://www.banggood.com/TM1638-Chip-Key-Display-Module-8-Bits-Digital-LED-Tube-For-AVR-Arduino-p-928931.html?p=05041114859396201710
1058299,"STM32F103C8T6 Small System Board Microcontroller STM32 ARM Core Board For Arduino",https://img2.banggood.com/thumb/gallery/oaupload/banggood/images/F7/39/3ed28e05-24ad-41e0-b73f-ed18fd4bd45a.jpg,https://www.banggood.com/STM32F103C8T6-Small-System-Board-Microcontroller-STM32-ARM-Core-Board-For-Arduino-reviews-p1058299.html,US$3.62,$0.14,https://www.banggood.com/STM32F103C8T6-Small-System-Board-Microcontroller-STM32-ARM-Core-Board-For-Arduino-p-1058299.html?p=05041114859396201710
987819,"Geekcreit® 45 In 1 Sensor Module Board Kit Upgrade Version For Arduino Carton Box Package",https://img3.banggood.com/thumb/gallery/2014/xiemeijuan/07/SKU251263/SKU251263a.jpg,https://www.banggood.com/Geekcreit®-45-In-1-Sensor-Module-Board-Kit-Upgrade-Version-For-Arduino-Carton-Box-Package-reviews-p987819.html,US$23.99,$0.96,https://www.banggood.com/45-In-1-Sensor-Module-Board-Kit-Upgrade-Version-For-Arduino-p-987819.html?p=05041114859396201710
1154759,"Wemos® Nodemcu Wifi For Arduino And NodeMCU ESP8266 + 0.96 Inch OLED Board",https://img2.banggood.com/thumb/gallery/oaupload/banggood/images/34/58/02c844f7-1e14-4b32-95d6-bed5177ca921.jpg,https://www.banggood.com/Wemos®-Nodemcu-Wifi-For-Arduino-And-NodeMCU-ESP8266-+-0_96-Inch-OLED-Board-reviews-p1154759.html,US$10.10,$0.4,https://www.banggood.com/Wemos-Nodemcu-Wifi-For-Arduino-And-NodeMCU-ESP8266-0_96-Inch-OLED-Board-p-1154759.html?p=05041114859396201710
1109512,"Geekcreit® ESP32 Development Board WiFi+Bluetooth Ultra Low Power Consumption Dual Cores ESP-32 ESP-32S Board",https://img1.banggood.com/thumb/gallery/oaupload/banggood/images/91/B5/e0d42ff6-a8c7-44ba-8576-89f62f1d5c5a.jpeg,https://www.banggood.com/Geekcreit®-ESP32-Development-Board-WiFi+Bluetooth-Ultra-Low-Power-Consumption-Dual-Cores-ESP-32-ESP-32S-Board-reviews-p1109512.html,US$6.59,$0.26,https://www.banggood.com/ESP32-Development-Board-WiFiBluetooth-Ultra-Low-Power-Consumption-Dual-Cores-ESP-32-ESP-32S-Board-p-1109512.html?p=05041114859396201710
1164436,"WeMos® WiFi + Bluetooth Battery ESP32 Development Tool",https://img2.banggood.com/thumb/gallery/oaupload/banggood/images/4C/A0/a0afcea8-0ff7-499c-8a1c-59f5989af845.jpg,https://www.banggood.com/WeMos®-WiFi-+-Bluetooth-Battery-ESP32-Development-Tool-reviews-p1164436.html,US$10.40,$0.42,https://www.banggood.com/WeMos-WiFi-Bluetooth-Battery-ESP32-Development-Tool-p-1164436.html?p=05041114859396201710
1181297,"Wemos® ESP32 OLED Module For Arduino ESP32 OLED WiFi Modules + Bluetooth Dual ESP-32",https://img1.banggood.com/thumb/gallery/oaupload/banggood/images/B5/FB/ba9bc8fe-6867-4e41-98ea-75d644a50c9f.jpeg,https://www.banggood.com/Wemos®-ESP32-OLED-Module-For-Arduino-ESP32-OLED-WiFi-Modules-+-Bluetooth-Dual-ESP-32-reviews-p1181297.html,US$10.99,$0.44,https://www.banggood.com/Wemos-ESP32-OLED-Module-For-Arduino-ESP32-OLED-WiFi-Modules-Bluetooth-Dual-ESP-32-p-1181297.html?p=05041114859396201710
1187432,"Arduino IDE For ESP32 Module WiFi+Bluetooth Development Board Ethernet Internet Wireless Transceiver Control Board DIY RC",https://img2.banggood.com/thumb/gallery/oaupload/banggood/images/D9/B6/a260daca-1328-4f53-8b2e-b12099203192.jpg,https://www.banggood.com/Arduino-IDE-For-ESP32-Module-WiFi+Bluetooth-Development-Board-Ethernet-Internet-Wireless-Transceiver-Control-Board-DIY-RC-reviews-p1187432.html,US$12.29,$0.49,https://www.banggood.com/Arduino-IDE-For-ESP32-Module-WiFiBluetooth-Development-Board-Ethernet-Internet-Wireless-Transceiver-p-1187432.html?p=05041114859396201710
1175907,"WeMos® Elecrow NodeMCU 32S Lua WiFi ESP32S Development Board WiFi Bluetooth Ultra Low Power Consumption Dual Cores ESP32 DIY Kit",https://img3.banggood.com/thumb/gallery/oaupload/banggood/images/33/22/415264c2-fa86-4e96-ac90-4b164043736e.JPG,https://www.banggood.com/WeMos®-Elecrow-NodeMCU-32S-Lua-WiFi-ESP32S-Development-Board-WiFi-Bluetooth-Ultra-Low-Power-Consumption-Dual-Cores-ESP32-DIY-Kit-reviews-p1175907.html,US$8.80,$0.35,https://www.banggood.com/WeMos-Elecrow-NodeMCU-32S-Lua-WiFi-ESP32S-Development-Board-WiFi-Bluetooth-p-1175907.html?p=05041114859396201710
985891,"Geekcreit® NodeMcu Lua ESP8266 ESP-12E WIFI Development Board",https://img2.banggood.com/thumb/gallery/oaupload/banggood/images/72/71/e1fe609e-851c-42b3-a7f7-256ffda57c9f.jpeg,https://www.banggood.com/Geekcreit®-NodeMcu-Lua-ESP8266-ESP-12E-WIFI-Development-Board-reviews-p985891.html,US$3.79,$0.15,https://www.banggood.com/Geekcreit-Doit-NodeMcu-Lua-ESP8266-ESP-12E-WIFI-Development-Board-p-985891.html?p=05041114859396201710
947259,"ESP8266 ESP-01 Remote Serial Port WIFI Transceiver Wireless Module",https://img1.banggood.com/thumb/gallery/2014/xiemeijuan/09/SKU165317/sku165317-11.jpg,https://www.banggood.com/ESP8266-ESP-01-Remote-Serial-Port-WIFI-Transceiver-Wireless-Module-reviews-p947259.html,US$3.23,$0.13,https://www.banggood.com/ESP8266-Remote-Serial-Port-WIFI-Transceiver-Wireless-Module-p-947259.html?p=05041114859396201710
